trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
102,238.02762741914088,4,3,2288,224,10,56,432,128,0.45,1.642864559155886e-05,1.8876571192130286e-07,512
103,237.85848601535213,3,3,2240,208,10,60,432,128,0.4,1.219253711002609e-05,1.9135545222915559e-07,512
104,239.97640809716418,3,3,2288,208,10,60,464,128,0.4,1.0622134234777264e-05,1.1099292950425319e-08,512
105,239.6580994893293,4,3,4000,224,10,56,432,128,0.4,1.6928038603370342e-05,1.6242664767624023e-07,512
106,251.30849563410598,4,2,2272,192,10,60,448,128,0.45,5.24036029881567e-05,2.073784745602312e-07,512
107,237.9468818356322,3,2,2240,208,11,64,416,128,0.30000000000000004,2.2195909290559186e-05,5.541985198750124e-08,512
108,241.99437443643455,3,1,2320,208,11,64,416,128,0.30000000000000004,2.4980371185863657e-05,5.121011135687558e-08,512
109,241.11451087614265,3,1,2240,176,11,64,432,128,0.25,1.411884622832922e-05,7.1782293201521e-08,512
110,239.35664364475792,2,3,2384,192,10,56,496,128,0.35000000000000003,2.119688515187842e-05,9.232305782590192e-08,512
111,242.25309524690837,2,3,2368,192,10,60,496,128,0.30000000000000004,3.688623166126963e-05,9.663466653208553e-08,512
112,244.13036728680865,1,2,2400,208,11,56,464,128,0.35000000000000003,2.257961123226225e-05,1.387004368777542e-07,512
113,240.0650101933107,2,3,2320,192,10,16,480,128,0.35000000000000003,3.168678610510592e-05,4.499020127174332e-08,512
114,237.49298696668748,3,3,2272,224,9,56,416,128,0.35000000000000003,6.254189288311937e-06,6.180314520132055e-08,512
115,238.21467822942768,3,3,2272,224,10,60,416,128,0.30000000000000004,6.548769756600471e-06,5.775777251195177e-08,512
116,242.3168586819164,3,2,2272,224,9,60,416,128,0.30000000000000004,6.356347896352864e-06,5.84238020824562e-08,512
117,237.12398450407795,3,3,2240,224,11,64,448,128,0.30000000000000004,5.016444743804879e-06,2.6000922880920946e-08,512
118,239.13951309196673,3,3,2240,224,11,64,432,128,0.30000000000000004,4.735034708307279e-06,1.6578149218950734e-08,1024
119,238.1484125443088,3,3,2336,224,11,64,448,128,0.25,2.1807721603386774e-06,3.040820777573115e-08,512
120,239.40730589018176,3,3,2336,224,11,64,448,128,0.25,1.6372836449404051e-06,2.6666452635313367e-08,512
121,239.56029880546882,3,3,2304,208,11,64,416,128,0.25,4.020407434486225e-06,3.5686183558039085e-08,512
122,241.15170332902576,3,2,2352,240,11,60,400,128,0.25,7.370710471802729e-07,1.6504015257524874e-08,512
123,238.87181261359487,3,3,2432,224,11,60,464,128,0.30000000000000004,2.414898349892903e-06,2.776897987935408e-08,512
124,239.27454130337802,3,3,2416,224,11,60,464,128,0.30000000000000004,3.3638353688837106e-06,3.909815715800295e-08,512
125,237.6570960699695,3,3,2368,224,11,64,448,128,0.25,7.943796279939589e-06,2.3748148482014938e-08,512
126,237.1602176634752,3,3,2240,208,11,64,448,128,0.2,5.5066142300884185e-06,2.3670255349115563e-08,512
127,237.67395953329563,3,3,2240,208,12,64,448,128,0.2,8.49994905959884e-06,2.05501827028662e-08,512
128,237.79048163767695,3,3,2240,208,12,64,448,128,0.2,5.62810398603307e-06,1.2290165671096309e-08,512
129,241.10091137547624,2,3,2240,208,12,64,448,128,0.15000000000000002,8.599624058448897e-06,1.3320235484991546e-08,256
